18219 19610
0 780 28.88
0 4716 18.43
0 6798 20.08
0 8908 18.27
0 10499 16.25
0 11203 0.62
0 14353 49.36
0 15568 26.84
0 15592 -24.63
1 998 -44.88
1 1192 34.18
1 1671 3.73
1 2777 0.25
1 4810 28.21
1 6270 -41.48
1 8995 36.06
1 9275 24.56
1 9451 -4.56
1 9954 6.57
1 10206 -36.49
1 11271 23.39
1 17648 23.87
1 17978 -29.48
1 18797 -38.99
2 1416 27.23
2 4537 21.35
2 6651 -11.53
2 13190 -33.65
2 14244 36.44
2 17570 -19.14
3 869 9.89
3 3721 19.38
3 5379 -21.17
3 7421 -43.74
3 7683 37.83
3 8379 -44.94
3 10375 30.97
3 13610 40.28
3 15288 1.16
3 18940 37.61
4 194 -6.92
4 1276 48.66
4 2457 -22.22
4 3533 -39.34
4 7597 23.78
4 10108 -30.84
4 12607 18.93
4 14842 -31.89
4 15343 -31.16
4 18696 -44.65
5 1152 -23.25
5 1664 -33.88
5 3096 -37.93
5 3596 1.63
5 4036 -28.08
5 5408 39.51
5 9781 -32.47
5 16039 22.22
5 17325 16.30
5 17891 11.53
6 2442 39.42
6 4531 -17.31
6 5300 -28.96
6 8254 -42.44
6 12508 -46.11
6 13769 -16.11
6 15210 2.41
6 16033 -47.07
6 17752 25.35
7 194 -15.97
7 211 -27.15
7 1389 44.58
7 4518 -41.97
7 6057 43.37
7 7236 24.60
7 9387 -2.28
7 10854 16.01
7 11723 -4.34
7 13124 -22.22
7 13745 -30.25
7 15998 26.68
7 17776 35.76
8 508 22.39
8 583 4.75
8 2449 -32.46
8 7492 -46.16
8 10706 -4.01
8 11807 -17.65
8 15545 41.83
8 17217 -19.90
9 3375 -42.61
9 3917 -26.80
9 8052 -15.00
9 8056 -3.50
9 19137 -30.95
10 222 45.14
10 1518 30.28
10 2286 3.25
10 2975 12.77
10 8295 -35.04
10 11921 39.82
10 12477 -38.47
10 14227 42.10
10 15532 42.57
10 17025 -36.86
11 5497 -1.39
11 7087 13.94
11 11938 31.24
11 17935 -48.31
12 8248 19.78
12 11627 -36.04
12 12447 12.00
12 14235 39.06
12 15128 36.84
12 16667 -1.08
12 16879 34.67
13 340 -42.88
13 2206 -12.78
13 2972 -4.68
13 3255 -3.31
13 3695 -46.97
13 5180 -23.75
13 7546 3.22
13 8916 -4.77
13 10462 -39.17
13 12274 29.22
13 13648 -15.75
13 18470 25.44
14 918 44.18
14 979 35.09
14 6066 -11.91
14 7378 18.37
14 9422 -39.45
14 13399 -2.61
14 16347 25.39
15 1644 -19.10
15 1712 3.14
15 2679 -34.69
15 14358 -44.63
16 1052 11.89
16 1650 16.29
16 2077 12.73
16 2138 40.00
16 5463 -15.81
16 6809 31.05
16 7034 -43.22
16 7089 6.51
16 8510 42.87
16 9372 -10.23
16 9558 46.77
16 10131 7.68
16 10854 -43.01
16 11555 28.73
16 13332 26.66
16 14846 36.86
16 15182 37.56
16 16541 21.95
16 16704 -49.82
17 367 39.54
17 6057 30.72
17 6382 -43.04
17 8376 -31.76
17 10175 47.87
17 11593 14.58
17 14269 -46.95
17 16844 1.35
17 17554 -16.98
17 17833 49.28
18 451 -12.31
18 873 44.14
18 3919 36.96
18 9084 -42.32
18 9268 -0.57
18 14600 23.18
18 16848 11.96
19 3611 -41.97
19 7310 -17.42
19 10472 -49.06
19 14059 23.59
19 14911 -36.94
19 15437 16.89
19 16080 47.77
19 16222 -11.54
19 17413 31.82
19 18165 -33.73
19 18692 28.76
19 18768 -41.34
20 63 38.44
20 577 42.84
20 702 -37.26
20 1942 48.69
20 3902 -34.59
20 4249 -28.79
20 9213 20.73
20 11468 -38.43
20 11513 30.57
20 14124 35.42
20 17513 20.53
21 4451 37.01
21 8344 39.29
21 10434 -9.81
22 81 41.52
22 4592 -25.70
22 7297 -30.11
22 8655 17.13
22 9848 -45.59
22 10792 4.99
22 16795 -40.71
22 17645 -16.17
23 665 38.91
23 1244 19.11
23 6936 -36.18
23 7860 35.69
23 8856 -23.54
23 12356 -7.68
23 12508 27.52
23 12689 35.26
23 15912 13.80
24 678 -46.45
24 1009 -30.28
24 2519 45.46
24 3044 43.28
24 3793 -35.28
24 6143 13.07
24 7746 16.96
24 7947 26.09
24 9315 8.94
24 13135 -19.26
24 15346 -24.78
24 15477 37.09
24 15700 37.56
24 16627 -1.88
24 18189 6.16
24 19498 -16.78
25 1685 41.55
25 3141 -37.27
25 3616 14.63
25 11574 35.30
25 15179 -37.89
25 18000 41.19
25 19068 31.11
26 3631 32.74
26 4843 8.12
26 7079 -14.31
26 7095 -19.64
26 7584 30.63
26 8033 8.27
26 9790 -1.19
26 12576 38.40
26 13112 -7.17
26 15608 23.30
26 16770 -39.70
26 18757 21.34
26 19246 -13.30
27 1039 -28.48
27 2084 24.94
27 4629 -37.38
27 5521 20.06
27 5669 35.02
27 11888 28.03
27 13517 -2.61
27 18010 9.87
28 1984 -49.90
28 2192 -4.91
28 10600 39.87
28 15969 15.98
28 17677 29.43
29 2566 -2.29
29 2951 35.16
29 6607 26.84
29 6643 13.04
29 6969 26.53
29 7456 -19.90
29 12095 44.62
29 14486 33.81
29 15368 -3.72
30 77 18.12
30 3490 -33.80
30 5005 -48.96
30 8817 -12.95
30 9658 27.11
30 9793 5.60
30 10636 14.21
30 10760 44.14
30 10771 -22.88
30 13105 -25.61
30 15943 0.45
30 16236 6.45
30 18305 -23.22
31 459 -0.57
31 4879 -38.59
31 9304 -8.09
31 10024 -24.97
31 11163 -11.54
31 11176 -23.78
31 13012 22.66
31 13441 -28.96
31 14640 -4.45
31 16983 48.17
31 18599 8.18
31 18833 -25.41
32 854 -37.50
32 1744 -9.61
32 3231 -22.44
32 6696 49.22
32 6739 -44.82
32 7394 -22.92
32 12770 2.23
32 13497 -29.12
32 13843 33.55
32 14321 35.76
32 16162 31.91
32 16812 44.48
32 17163 -15.51
32 19377 21.49
33 640 -9.01
33 875 49.89
33 2560 4.03
33 2784 23.65
33 8478 29.24
33 12380 -26.44
33 14843 5.92
33 14956 0.51
33 19348 -25.27
34 302 42.16
34 4548 37.72
34 6795 22.09
34 10297 28.76
35 405 19.29
35 921 19.41
35 1930 42.18
35 2455 -35.89
35 2608 2.30
35 7861 -25.23
35 11511 44.47
35 12623 39.81
35 13424 -30.10
35 13759 17.82
35 17159 -16.80
35 18666 11.64
36 3343 36.08
36 10149 -43.46
36 10209 -10.65
36 15520 46.37
36 19582 -41.34
37 3050 44.35
37 5479 -41.92
37 5921 9.81
37 8758 44.16
37 8921 -13.26
37 13442 -0.41
37 13573 38.94
37 17971 -30.74
37 18640 37.75
38 3598 22.78
38 7303 -4.23
38 8025 -33.08
38 8752 -20.61
38 12745 18.48
38 14647 -46.70
38 18939 -37.36
38 19112 -23.46
39 1913 28.44
39 2025 -9.72
39 3268 10.70
39 6323 3.68
39 11291 -6.16
39 12028 18.80
39 18169 0.19
40 239 35.97
40 9862 37.23
40 14164 10.30
40 14897 -4.85
40 16971 -27.26
40 17859 -42.37
40 19019 -31.46
41 737 0.61
41 2479 21.45
41 2951 40.68
41 3026 30.58
41 3432 24.28
41 5262 13.48
41 10840 -38.91
42 205 21.28
42 281 -12.39
42 922 -16.91
42 3348 37.49
42 5876 43.00
42 6866 12.99
42 11015 -41.67
42 11207 -31.53
42 11282 40.21
42 11653 -38.39
42 12839 -32.94
42 15968 -43.16
43 305 46.30
43 1916 -26.84
43 2245 -30.12
43 4698 -0.06
43 5209 19.66
43 10637 -9.38
43 12550 47.42
43 15453 47.59
43 15653 34.48
43 17230 -26.70
43 18748 28.98
44 3468 1.88
44 4495 10.31
44 4894 44.79
44 5098 -17.36
44 12933 -9.38
44 13463 -41.24
44 17256 16.24
45 2102 25.37
45 4414 -20.83
45 4781 -28.42
45 4944 33.89
45 8380 -37.54
45 8508 34.38
45 9621 -9.50
45 10908 49.09
45 13789 -18.20
45 18196 -11.02
45 18559 48.21
46 2300 -45.97
46 3676 -11.85
46 3679 -18.60
46 4527 33.18
46 4903 -14.47
46 8042 -29.26
46 9666 -41.87
46 10772 49.58
46 11517 -44.18
46 13030 26.58
47 1057 -2.28
47 1561 19.47
47 11025 2.58
47 11973 -13.74
47 13754 4.99
47 13852 -33.16
47 15246 21.19
47 16148 -11.15
47 16538 23.35
47 19088 -7.64
47 19422 -32.24
48 1256 25.30
48 2335 -3.26
48 3124 34.46
48 5283 -6.16
48 8349 -26.51
48 9204 10.64
48 9265 -15.51
48 9883 -16.10
48 11839 -28.59
48 12548 -46.95
48 14146 19.12
48 19501 -45.56
49 46 -3.32
49 479 49.97
49 1301 47.83
49 2482 -10.70
49 5312 -34.63
49 6871 -2.10
49 9917 -28.56
49 12192 14.63
49 13977 13.32
49 16462 -35.57
49 17462 16.89
49 18767 6.70
49 19357 8.15
49 19372 -47.65
50 406 32.09
50 3050 -19.09
50 3958 -4.47
50 7346 -43.72
50 8402 -41.18
50 10997 -15.44
50 11206 45.71
50 11835 37.67
50 12752 32.14
50 14050 -21.07
50 14478 -31.23
50 14913 -5.09
50 15267 41.86
50 15902 -33.58
50 18072 -28.04
51 629 40.52
51 2539 -27.02
51 2601 -16.53
51 5187 -17.63
51 6223 1.05
51 9153 -42.70
51 11343 48.31
51 13647 -23.52
51 16584 -2.60
51 17299 -12.28
51 18389 -20.64
52 5931 1.39
52 6134 -17.30
52 6983 -4.28
52 14424 -31.05
52 18374 -7.88
53 429 -43.70
53 833 9.12
53 950 -37.57
53 5236 -15.21
53 9021 -28.70
53 14009 24.97
53 14947 32.83
53 15168 -31.75
53 15177 -30.36
53 16421 -32.29
54 334 -33.93
54 1436 -38.29
54 3815 -16.78
54 4517 -36.14
54 6159 48.84
54 8017 36.35
54 8278 43.46
54 9226 45.45
54 11508 -39.65
54 18240 8.78
55 2313 17.04
55 3588 37.94
55 4018 -38.56
55 9181 -3.86
55 14738 19.25
55 15264 20.94
56 3506 22.56
56 5483 12.71
56 6814 -40.56
56 12578 -46.54
56 12679 -8.81
56 17182 42.78
57 10 3.22
57 352 -41.09
57 1285 -14.85
57 6755 1.13
57 6951 47.82
57 7362 -26.60
57 7707 16.97
57 10044 16.65
57 12192 -23.06
57 15462 -12.49
57 17655 39.93
57 19209 -19.56
58 3351 -20.88
58 5339 28.10
58 5385 26.43
58 7333 -41.47
58 17744 45.49
58 18051 -31.45
58 19462 7.72
59 10187 17.88
59 12253 1.25
59 14234 23.42
59 15350 -3.49
60 5458 -13.20
60 5598 21.75
60 7103 33.17
60 8194 16.50
60 11175 49.44
60 11177 23.89
60 15162 49.83
60 15351 -10.08
60 15546 -43.29
60 15608 42.06
60 16867 -45.00
60 19013 -4.87
61 688 -4.38
61 1292 -48.39
61 5620 -34.13
61 10473 -31.44
61 12603 -49.03
61 14369 28.73
61 15022 1.15
61 15980 16.43
62 1365 -15.76
62 2568 -41.18
62 4115 -7.98
62 4763 5.58
62 5098 25.90
62 5203 -31.04
62 7437 7.94
62 11992 40.33
62 13481 17.76
62 14135 26.47
62 14657 -10.89
63 540 -17.73
63 1988 -34.25
63 6088 -13.17
63 6635 -13.73
63 6825 49.61
63 9366 5.50
63 9804 29.35
63 10998 38.38
63 13482 14.96
63 13948 46.62
63 15431 -48.50
63 15609 35.19
63 16239 21.11
63 17346 8.87
63 19378 -41.99
64 259 36.53
64 1839 7.63
64 3336 0.07
64 4276 4.54
